#NSGA2
popsize 10
maxGen 10
numVar 9
numObj 1
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 10
currentGen	1
evaluateCount	10
totalTime	5.95697
firstFrontCount	10
frontCount	1
avgEvalTime	5.94998
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Obj1	
0.599136	0.377176	0.12345	10798.7	0.818146	9.97884	3368.41	1896.2	33.945	0	
0.375052	0.376003	0.109718	14564.9	2.01214	4.32358	3212.36	1883.01	53.8461	0	
0.831387	0.576566	0.0941122	10308.3	2.23882	6.21327	3322.42	1891.74	29.9154	0	
0.588098	0.283668	0.0904148	13599.8	0.543666	5.89655	2505.08	1602.11	46.4912	0	
0.840319	0.105522	0.134785	13798	2.3156	14.6186	2239.73	1759.48	52.879	0	
0.645916	0.863128	0.146816	14799.6	0.634688	6.56302	2641.68	1567.03	25.3834	0	
0.764163	0.519811	0.146655	14930	1.31979	5.56782	2453.71	1723.02	30.6489	0	
0.521367	0.446324	0.105577	9802.29	1.33846	7.60291	2648.65	1842.34	37.7237	0	
0.504964	0.734419	0.138933	13512.7	2.07851	7.51901	3110.36	1815.37	23.9196	0	
0.371973	0.59258	0.108298	13601.8	1.03446	0.592595	2593.12	1778.18	58.763	0	



